topic_0_language_llms_language models_reasoning,topic_10_hardware_memory_gpu_accelerators,topic_11_creative_creativity_art_fashion,topic_12_multimodal_visual_mllms_reasoning,topic_13_game_games_players_player,topic_14_embodied_robot_reinforcement_reinforcement learning,topic_15_quantum_quantum computing_classical_computing,topic_16_agricultural_agriculture_crop_remote sensing,topic_17_emotion_emotions_emotional_emotion recognition,topic_18_deep_neural_learning_networks,topic_19_fairness_fair_bias_unfairness,topic_1_explanations_xai_explanation_explainability,topic_20_federated_fl_federated learning_privacy,topic_21_cyber_threat_malware_security,topic_22_computing_neuromorphic_memory_devices,topic_23_intelligence_agi_general_cognitive,topic_24_adversarial_attacks_attack_backdoor,topic_25_edge_computing_inference_cloud,topic_26_spiking_spiking neural_snn_neuromorphic,topic_27_neural_brain_plasticity_synaptic,topic_28_optical_computing_neural_neuromorphic,topic_29_blockchain_decentralized_blockchainbased_blockchain technology,topic_2_ai_ethical_governance_ethics,topic_30_weather_climate_forecasting_forecasts,topic_31_stock_trading_financial_market,topic_32_neurosymbolic_symbolic_reasoning_neural,topic_33_physics_data_space_detector,topic_34_legal_law_court_judicial,topic_35_speech_asr_audio_speech recognition,topic_36_music_musical_generation_composition,topic_37_knowledge_graph_knowledge graph_commonsense,topic_38_radiology_medical_report generation_report,topic_39_semantic_semantic communication_communication_communications,topic_3_students_education_educational_student,topic_40_risk_risks_safety_ai,topic_41_causal_causality_causal discovery_discovery,topic_42_retinal_dr_images_diabetic,topic_43_brain_intelligence_biological_evolution,topic_44_fairness_bias_healthcare_biases,topic_45_energy_power_grid_comfort,topic_46_deepfake_detection_fake_images,topic_47_generation_quality assessment_quality_3d,topic_48_privacy_unlearning_protection_data,topic_49_federated_fl_federated learning_healthcare,topic_4_cancer_images_imaging_covid19,topic_50_environmental_carbon_green_energy,topic_51_geospatial_spatial_urban_geographic,topic_52_pdes_equations_partial differential_differential,topic_53_recognition_har_action_activity,topic_54_news_fake_misinformation_media,topic_55_alignment_human values_human_values,topic_56_mental_depression_disorder_mental health,topic_57_optimization_algorithm_problems_swarm,topic_58_continual_continual learning_forgetting_catastrophic forgetting,topic_59_trust_trust ai_trustworthy_ai,topic_5_medical_clinical_healthcare_patient,topic_60_metaverse_virtual_reality_immersive,topic_61_covid19_pandemic_covid19 pandemic_outbreak,topic_62_medical_xai_medical image_image,topic_63_damage_inspection_defect_segmentation,topic_64_brain_eeg_decoding_speech,topic_65_intrusion_intrusion detection_ids_detection,topic_66_consciousness_conscious_machines_artificial,topic_67_skin_dermatology_lesions_tone,topic_68_sports_players_player_match,topic_69_satellite_satellites_networks_communication,topic_6_molecular_materials_drug_discovery,topic_70_irs_beamforming_ris_secure,topic_71_vr_ar_virtual_reality,topic_72_peer_review_papers_citations,topic_73_text_humanwritten_aigenerated_aigenerated text,topic_74_ecg_bp_electrocardiogram_signals,topic_75_games_equilibrium_game_nash,topic_76_surgical_surgery_surgeons_autonomous,topic_77_maintenance_predictive maintenance_fault_predictive,topic_78_scientific_discovery_scientific discovery_science,topic_79_fl_federated_wireless_federated learning,topic_7_software_code_engineering_software engineering,topic_80_collaborations_scientific_research_ai research,topic_81_gender_bias_biases_stereotypes,topic_82_drone_uav_drones_uavs,topic_83_security_vulnerabilities_phishing_chatgpt,topic_84_team_humanai_teaming_teams,topic_85_political_media_llms_biases,topic_86_military_nuclear_weapons_weapon,topic_87_material_manufacturing_additive_concrete,topic_88_sustainable_sustainability_environmental_sdgs,topic_8_wireless_6g_network_networks,topic_9_traffic_driving_autonomous_vehicles,date
0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,2014-01-01
0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-02-01
0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,2014-03-01
0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-04-01
0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-05-01
0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-06-01
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,2014-07-01
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-08-01
0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2014-09-01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-10-01
